origination_id,merchant_id,partner_id,business_vertical,state,funding_date,estimated_maturity_date,avg_monthly_gmv_usd,prior_advances_count,risk_score,industry_risk_tier,advance_amount_usd,factor_rate,total_repayment_usd,total_fee_usd,remittance_rate,term_estimate_days,status,pct_repaid,amount_repaid_usd
ORG-200001,MCH-100001,PTR-006,E-commerce Retail,CA,2022-03-03,2022-06-28,187455.22,0,545,low,70152.4,1.103,77378.1,7225.7,0.105,117,active,0.781,60432.3
ORG-200002,MCH-100002,PTR-003,Retail Store,NC,2025-10-31,2025-12-30,217689.05,1,645,medium,28288.7,1.261,35672.05,7383.35,0.141,60,completed,1.0,35672.05
ORG-200003,MCH-100003,PTR-001,Cafe,MA,2022-10-20,2022-12-19,72793.29,0,802,medium,11497.45,1.319,15165.14,3667.69,0.134,60,active,0.786,11919.8
ORG-200004,MCH-100004,PTR-004,Wellness Clinic,OR,2022-08-17,2022-11-05,68842.22,1,802,low,21375.84,1.152,24624.97,3249.13,0.133,80,completed,1.0,24624.97
ORG-200005,MCH-100005,PTR-005,Restaurant,MN,2026-02-07,2026-05-04,86445.77,0,797,medium,12112.05,1.233,14934.16,2822.11,0.06,86,completed,1.0,14934.16
ORG-200006,MCH-100006,PTR-006,Photography Studio,CO,2022-01-15,2022-03-16,114020.22,1,539,medium,9037.48,1.23,11116.1,2078.62,0.126,60,active,0.921,10237.93
ORG-200007,MCH-100007,PTR-004,Yoga Studio,NJ,2023-01-28,2023-04-14,107486.75,3,517,low,13566.39,1.296,17582.04,4015.65,0.064,76,active,0.857,15067.81
ORG-200008,MCH-100008,PTR-004,Yoga Studio,TN,2025-01-15,2025-03-16,77030.31,2,734,high,9454.12,1.342,12687.43,3233.31,0.125,60,active,0.81,10276.82
ORG-200009,MCH-100009,PTR-001,Bakery,MD,2023-10-10,2023-12-15,144784.92,0,583,medium,22524.87,1.261,28403.86,5878.99,0.089,66,active,0.98,27835.78
ORG-200010,MCH-100010,PTR-006,Photography Studio,PA,2025-05-23,2025-07-22,233484.96,0,781,medium,22709.15,1.229,27909.55,5200.4,0.085,60,active,0.82,22885.83
ORG-200011,MCH-100011,PTR-005,Restaurant,FL,2023-09-24,2024-03-26,26209.01,3,789,low,9665.29,1.12,10825.12,1159.83,0.067,184,completed,1.0,10825.12
ORG-200012,MCH-100012,PTR-001,Restaurant,MN,2022-01-04,2022-03-05,113164.43,2,600,low,25062.29,1.149,28796.57,3734.28,0.142,60,completed,1.0,28796.57
ORG-200013,MCH-100013,PTR-006,Creative Services,AZ,2025-03-11,2025-08-03,105380.89,0,541,high,29138.31,1.282,37355.31,8217.0,0.073,145,completed,1.0,37355.31
ORG-200014,MCH-100014,PTR-002,E-commerce Retail,CA,2025-02-15,2025-04-21,224023.68,3,783,high,42465.62,1.268,53846.41,11380.79,0.11,65,active,0.98,52769.48
ORG-200015,MCH-100015,PTR-002,Marketplace Reseller,OH,2025-01-11,2025-04-15,193326.91,1,701,medium,49934.83,1.143,57075.51,7140.68,0.094,94,active,0.753,42977.86
ORG-200016,MCH-100016,PTR-003,Convenience Store,MI,2024-12-29,2025-03-25,15024.01,0,717,high,5747.16,1.328,7632.23,1885.07,0.177,86,active,0.838,6395.81
ORG-200017,MCH-100017,PTR-002,E-commerce Retail,CA,2022-12-10,2023-02-08,158363.23,0,652,low,35038.87,1.269,44464.33,9425.46,0.15,60,completed,1.0,44464.33
ORG-200018,MCH-100018,PTR-002,E-commerce Retail,PA,2023-11-30,2024-01-29,213770.96,1,539,low,40850.77,1.18,48203.91,7353.14,0.116,60,active,0.847,40828.71
ORG-200019,MCH-100019,PTR-003,Auto Repair,NY,2023-12-28,2024-02-26,75500.64,1,740,high,14780.79,1.168,17263.96,2483.17,0.113,60,active,0.819,14139.18
ORG-200020,MCH-100020,PTR-002,CPG Brand,NC,2023-07-09,2023-09-11,82101.86,1,651,medium,21155.15,1.169,24730.37,3575.22,0.141,64,completed,1.0,24730.37
ORG-200021,MCH-100021,PTR-001,Ghost Kitchen,PA,2022-09-16,2022-11-15,63050.93,0,505,medium,14396.04,1.229,17692.73,3296.69,0.141,60,completed,1.0,17692.73
ORG-200022,MCH-100022,PTR-002,E-commerce Retail,MD,2024-07-11,2024-10-14,237688.41,0,579,high,78403.97,1.141,89458.93,11054.96,0.118,95,active,0.804,71924.98
ORG-200023,MCH-100023,PTR-002,CPG Brand,FL,2025-03-11,2025-05-10,139784.1,1,791,medium,12714.14,1.163,14786.54,2072.4,0.147,60,active,0.854,12627.71
ORG-200024,MCH-100024,PTR-001,Cafe,MD,2024-10-04,2024-12-27,17736.06,2,651,high,5382.14,1.238,6663.09,1280.95,0.133,84,paid_off_early,1.0,6663.09
ORG-200025,MCH-100025,PTR-005,Bar,NJ,2023-08-13,2023-11-14,21117.39,1,699,high,7000.0,1.135,7945.0,945.0,0.121,93,completed,1.0,7945.0
ORG-200026,MCH-100026,PTR-004,Spa,MN,2023-07-02,2023-10-03,130994.3,3,776,medium,52858.76,1.172,61950.47,9091.71,0.152,93,active,0.799,49498.43
ORG-200027,MCH-100027,PTR-001,Ghost Kitchen,OR,2025-09-02,2025-11-13,241615.57,0,532,high,37131.53,1.084,40250.58,3119.05,0.069,72,paid_off_early,1.0,40250.58
ORG-200028,MCH-100028,PTR-004,Fitness Studio,MN,2022-07-25,2022-10-11,24557.82,1,795,medium,7633.9,1.107,8450.73,816.83,0.132,78,completed,1.0,8450.73
ORG-200029,MCH-100029,PTR-003,Convenience Store,OH,2025-04-18,2025-07-17,169375.45,3,649,medium,40555.64,1.199,48626.21,8070.57,0.095,90,completed,1.0,48626.21
ORG-200030,MCH-100030,PTR-002,Marketplace Reseller,CO,2024-06-21,2024-11-17,60999.1,0,580,medium,21810.92,1.255,27372.7,5561.78,0.09,149,active,0.828,22664.6
ORG-200031,MCH-100031,PTR-005,Restaurant,NY,2022-08-26,2022-10-25,161767.75,1,724,high,15002.57,1.09,16352.8,1350.23,0.179,60,active,0.98,16025.74
ORG-200032,MCH-100032,PTR-004,Wellness Clinic,NC,2024-07-20,2024-09-18,215018.95,0,719,medium,20574.17,1.341,27589.96,7015.79,0.173,60,active,0.774,21354.63
ORG-200033,MCH-100033,PTR-003,Auto Repair,IL,2022-02-02,2022-04-03,138732.14,2,535,low,16849.74,1.293,21786.71,4936.97,0.127,60,active,0.718,15642.86
ORG-200034,MCH-100034,PTR-001,Bakery,MA,2023-07-18,2023-09-16,111158.22,0,728,high,9506.3,1.244,11825.84,2319.54,0.059,60,completed,1.0,11825.84
ORG-200035,MCH-100035,PTR-002,CPG Brand,TN,2024-02-06,2024-04-06,222918.03,1,765,high,37150.27,1.195,44394.57,7244.3,0.136,60,paid_off_early,1.0,44394.57
