repayment_id,origination_id,partner_id,payment_date,remittance_amount_usd,cumulative_repaid_usd,payment_method
RPY-0000001,ORG-200001,PTR-006,2022-03-10,4085.28,4085.28,ach_remittance
RPY-0000002,ORG-200001,PTR-006,2022-03-17,4429.75,8515.03,ach_remittance
RPY-0000003,ORG-200001,PTR-006,2022-03-24,3533.84,12048.87,ach_remittance
RPY-0000004,ORG-200001,PTR-006,2022-03-31,3106.8,15155.67,ach_remittance
RPY-0000005,ORG-200001,PTR-006,2022-04-07,4559.03,19714.7,ach_remittance
RPY-0000006,ORG-200001,PTR-006,2022-04-14,3543.19,23257.89,ach_remittance
RPY-0000007,ORG-200001,PTR-006,2022-04-21,2916.81,26174.7,ach_remittance
RPY-0000008,ORG-200001,PTR-006,2022-04-28,2575.05,28749.75,ach_remittance
RPY-0000009,ORG-200001,PTR-006,2022-05-05,3350.91,32100.66,ach_remittance
RPY-0000010,ORG-200001,PTR-006,2022-05-12,3065.49,35166.15,manual_payment
RPY-0000011,ORG-200001,PTR-006,2022-05-19,3654.42,38820.57,ach_remittance
RPY-0000012,ORG-200001,PTR-006,2022-05-26,5053.03,43873.6,manual_payment
RPY-0000013,ORG-200001,PTR-006,2022-06-02,3152.08,47025.68,ach_remittance
RPY-0000014,ORG-200001,PTR-006,2022-06-09,4941.71,51967.39,ach_remittance
RPY-0000015,ORG-200001,PTR-006,2022-06-16,2847.23,54814.62,manual_payment
RPY-0000016,ORG-200001,PTR-006,2022-06-23,5617.68,60432.3,ach_remittance
RPY-0000017,ORG-200002,PTR-003,2025-11-07,4381.19,4381.19,ach_remittance
RPY-0000018,ORG-200002,PTR-003,2025-11-14,4344.39,8725.58,ach_remittance
RPY-0000019,ORG-200002,PTR-003,2025-11-21,8273.65,16999.23,ach_remittance
RPY-0000020,ORG-200002,PTR-003,2025-11-28,6216.21,23215.44,ach_remittance
RPY-0000021,ORG-200002,PTR-003,2025-12-05,7576.04,30791.48,ach_remittance
RPY-0000022,ORG-200002,PTR-003,2025-12-12,4880.57,35672.05,ach_remittance
RPY-0000023,ORG-200003,PTR-001,2022-10-27,1563.12,1563.12,ach_remittance
RPY-0000024,ORG-200003,PTR-001,2022-11-03,1590.8,3153.92,ach_remittance
RPY-0000025,ORG-200003,PTR-001,2022-11-10,1370.06,4523.98,ach_remittance
RPY-0000026,ORG-200003,PTR-001,2022-11-17,2083.03,6607.01,ach_remittance
RPY-0000027,ORG-200003,PTR-001,2022-11-24,1002.35,7609.36,manual_payment
RPY-0000028,ORG-200003,PTR-001,2022-12-01,1024.68,8634.04,ach_remittance
RPY-0000029,ORG-200003,PTR-001,2022-12-08,1838.13,10472.17,ach_remittance
RPY-0000030,ORG-200003,PTR-001,2022-12-15,1447.63,11919.8,manual_payment
RPY-0000031,ORG-200004,PTR-004,2022-08-24,2119.84,2119.84,ach_remittance
RPY-0000032,ORG-200004,PTR-004,2022-08-31,4136.1,6255.94,ach_remittance
RPY-0000033,ORG-200004,PTR-004,2022-09-07,4255.09,10511.03,ach_remittance
RPY-0000034,ORG-200004,PTR-004,2022-09-14,2410.18,12921.21,ach_remittance
RPY-0000035,ORG-200004,PTR-004,2022-09-21,4479.41,17400.62,ach_remittance
RPY-0000036,ORG-200004,PTR-004,2022-09-28,2670.5,20071.12,ach_remittance
RPY-0000037,ORG-200004,PTR-004,2022-10-05,4553.85,24624.97,ach_remittance
RPY-0000038,ORG-200005,PTR-005,2026-02-14,2578.24,2578.24,ach_remittance
RPY-0000039,ORG-200005,PTR-005,2026-02-21,1499.2,4077.44,ach_remittance
RPY-0000040,ORG-200005,PTR-005,2026-02-28,2218.45,6295.89,ach_remittance
RPY-0000041,ORG-200005,PTR-005,2026-03-07,2769.11,9065.0,ach_remittance
RPY-0000042,ORG-200005,PTR-005,2026-03-14,1641.56,10706.56,ach_remittance
RPY-0000043,ORG-200005,PTR-005,2026-03-21,2525.89,13232.45,ach_remittance
RPY-0000044,ORG-200005,PTR-005,2026-03-28,1701.71,14934.16,ach_remittance
RPY-0000045,ORG-200006,PTR-006,2022-01-22,1002.23,1002.23,ach_remittance
RPY-0000046,ORG-200006,PTR-006,2022-01-29,1647.93,2650.16,manual_payment
RPY-0000047,ORG-200006,PTR-006,2022-02-05,1011.51,3661.67,ach_remittance
RPY-0000048,ORG-200006,PTR-006,2022-02-12,987.18,4648.85,ach_remittance
RPY-0000049,ORG-200006,PTR-006,2022-02-19,1725.62,6374.47,ach_remittance
RPY-0000050,ORG-200006,PTR-006,2022-02-26,1251.76,7626.23,ach_remittance
RPY-0000051,ORG-200006,PTR-006,2022-03-05,1594.55,9220.78,ach_remittance
RPY-0000052,ORG-200006,PTR-006,2022-03-12,1017.15,10237.93,manual_payment
RPY-0000053,ORG-200007,PTR-004,2023-02-04,1412.62,1412.62,ach_remittance
RPY-0000054,ORG-200007,PTR-004,2023-02-11,1205.19,2617.81,ach_remittance
RPY-0000055,ORG-200007,PTR-004,2023-02-18,1438.23,4056.04,ach_remittance
RPY-0000056,ORG-200007,PTR-004,2023-02-25,1567.44,5623.48,manual_payment
RPY-0000057,ORG-200007,PTR-004,2023-03-04,2108.63,7732.11,ach_remittance
RPY-0000058,ORG-200007,PTR-004,2023-03-11,2072.12,9804.23,ach_remittance
RPY-0000059,ORG-200007,PTR-004,2023-03-18,1927.11,11731.34,ach_remittance
RPY-0000060,ORG-200007,PTR-004,2023-03-25,1489.47,13220.81,ach_remittance
RPY-0000061,ORG-200007,PTR-004,2023-04-01,1387.49,14608.3,manual_payment
RPY-0000062,ORG-200007,PTR-004,2023-04-08,459.51,15067.81,ach_remittance
RPY-0000063,ORG-200008,PTR-004,2025-01-22,822.29,822.29,ach_remittance
RPY-0000064,ORG-200008,PTR-004,2025-01-29,1715.6,2537.89,ach_remittance
RPY-0000065,ORG-200008,PTR-004,2025-02-05,829.22,3367.11,ach_remittance
RPY-0000066,ORG-200008,PTR-004,2025-02-12,1645.67,5012.78,manual_payment
RPY-0000067,ORG-200008,PTR-004,2025-02-19,840.6,5853.38,ach_remittance
RPY-0000068,ORG-200008,PTR-004,2025-02-26,1185.71,7039.09,ach_remittance
RPY-0000069,ORG-200008,PTR-004,2025-03-05,1356.21,8395.3,ach_remittance
RPY-0000070,ORG-200008,PTR-004,2025-03-12,1881.52,10276.82,manual_payment
RPY-0000071,ORG-200009,PTR-001,2023-10-17,1878.77,1878.77,ach_remittance
RPY-0000072,ORG-200009,PTR-001,2023-10-24,3248.73,5127.5,manual_payment
RPY-0000073,ORG-200009,PTR-001,2023-10-31,3185.98,8313.48,ach_remittance
RPY-0000074,ORG-200009,PTR-001,2023-11-07,2183.45,10496.93,ach_remittance
RPY-0000075,ORG-200009,PTR-001,2023-11-14,2025.93,12522.86,ach_remittance
RPY-0000076,ORG-200009,PTR-001,2023-11-21,2560.86,15083.72,ach_remittance
RPY-0000077,ORG-200009,PTR-001,2023-11-28,3199.8,18283.52,ach_remittance
RPY-0000078,ORG-200009,PTR-001,2023-12-05,4290.06,22573.58,ach_remittance
RPY-0000079,ORG-200009,PTR-001,2023-12-12,5262.2,27835.78,ach_remittance
RPY-0000080,ORG-200010,PTR-006,2025-05-30,3289.83,3289.83,ach_remittance
RPY-0000081,ORG-200010,PTR-006,2025-06-06,2873.11,6162.94,ach_remittance
RPY-0000082,ORG-200010,PTR-006,2025-06-13,3794.83,9957.77,manual_payment
RPY-0000083,ORG-200010,PTR-006,2025-06-20,3168.05,13125.82,ach_remittance
RPY-0000084,ORG-200010,PTR-006,2025-06-27,1817.33,14943.15,ach_remittance
RPY-0000085,ORG-200010,PTR-006,2025-07-04,2015.83,16958.98,ach_remittance
RPY-0000086,ORG-200010,PTR-006,2025-07-11,2086.23,19045.21,ach_remittance
RPY-0000087,ORG-200010,PTR-006,2025-07-18,3840.62,22885.83,ach_remittance
RPY-0000088,ORG-200011,PTR-005,2023-10-01,596.58,596.58,manual_payment
RPY-0000089,ORG-200011,PTR-005,2023-10-08,383.75,980.33,ach_remittance
RPY-0000090,ORG-200011,PTR-005,2023-10-15,490.83,1471.16,ach_remittance
RPY-0000091,ORG-200011,PTR-005,2023-10-22,453.75,1924.91,ach_remittance
RPY-0000092,ORG-200011,PTR-005,2023-10-29,597.14,2522.05,ach_remittance
RPY-0000093,ORG-200011,PTR-005,2023-11-05,580.49,3102.54,ach_remittance
RPY-0000094,ORG-200011,PTR-005,2023-11-12,316.09,3418.63,ach_remittance
RPY-0000095,ORG-200011,PTR-005,2023-11-19,321.13,3739.76,ach_remittance
RPY-0000096,ORG-200011,PTR-005,2023-11-26,321.93,4061.69,ach_remittance
RPY-0000097,ORG-200011,PTR-005,2023-12-03,530.82,4592.51,ach_remittance
RPY-0000098,ORG-200011,PTR-005,2023-12-10,491.86,5084.37,ach_remittance
RPY-0000099,ORG-200011,PTR-005,2023-12-17,345.77,5430.14,ach_remittance
RPY-0000100,ORG-200011,PTR-005,2023-12-24,502.73,5932.87,ach_remittance
