revenue_id,origination_id,partner_id,recognition_period,revenue_recognized_usd,cumulative_revenue_recognized_usd,recognition_method
REV-0000001,ORG-200001,PTR-006,2022-03,1806.42,1806.42,straight_line_fee_recognition
REV-0000002,ORG-200001,PTR-006,2022-04,1806.42,3612.84,straight_line_fee_recognition
REV-0000003,ORG-200001,PTR-006,2022-05,1806.42,5419.26,straight_line_fee_recognition
REV-0000004,ORG-200001,PTR-006,2022-06,1806.42,7225.68,straight_line_fee_recognition
REV-0000005,ORG-200002,PTR-003,2025-10,3691.68,3691.68,straight_line_fee_recognition
REV-0000006,ORG-200002,PTR-003,2025-11,3691.68,7383.36,straight_line_fee_recognition
REV-0000007,ORG-200003,PTR-001,2022-10,1833.85,1833.85,straight_line_fee_recognition
REV-0000008,ORG-200003,PTR-001,2022-11,1833.85,3667.7,straight_line_fee_recognition
REV-0000009,ORG-200004,PTR-004,2022-08,1083.04,1083.04,straight_line_fee_recognition
REV-0000010,ORG-200004,PTR-004,2022-09,1083.04,2166.08,straight_line_fee_recognition
REV-0000011,ORG-200004,PTR-004,2022-10,1083.04,3249.12,straight_line_fee_recognition
REV-0000012,ORG-200005,PTR-005,2026-02,940.7,940.7,straight_line_fee_recognition
REV-0000013,ORG-200005,PTR-005,2026-03,940.7,1881.4,straight_line_fee_recognition
REV-0000014,ORG-200005,PTR-005,2026-04,940.7,2822.1,straight_line_fee_recognition
REV-0000015,ORG-200006,PTR-006,2022-01,1039.31,1039.31,straight_line_fee_recognition
REV-0000016,ORG-200006,PTR-006,2022-02,1039.31,2078.62,straight_line_fee_recognition
REV-0000017,ORG-200007,PTR-004,2023-01,1338.55,1338.55,straight_line_fee_recognition
REV-0000018,ORG-200007,PTR-004,2023-02,1338.55,2677.1,straight_line_fee_recognition
REV-0000019,ORG-200007,PTR-004,2023-03,1338.55,4015.65,straight_line_fee_recognition
REV-0000020,ORG-200008,PTR-004,2025-01,1616.65,1616.65,straight_line_fee_recognition
REV-0000021,ORG-200008,PTR-004,2025-02,1616.65,3233.3,straight_line_fee_recognition
REV-0000022,ORG-200009,PTR-001,2023-10,1959.66,1959.66,straight_line_fee_recognition
REV-0000023,ORG-200009,PTR-001,2023-11,1959.66,3919.32,straight_line_fee_recognition
REV-0000024,ORG-200009,PTR-001,2023-12,1959.66,5878.98,straight_line_fee_recognition
REV-0000025,ORG-200010,PTR-006,2025-05,2600.2,2600.2,straight_line_fee_recognition
REV-0000026,ORG-200010,PTR-006,2025-06,2600.2,5200.4,straight_line_fee_recognition
REV-0000027,ORG-200011,PTR-005,2023-09,165.69,165.69,straight_line_fee_recognition
REV-0000028,ORG-200011,PTR-005,2023-10,165.69,331.38,straight_line_fee_recognition
REV-0000029,ORG-200011,PTR-005,2023-11,165.69,497.07,straight_line_fee_recognition
REV-0000030,ORG-200011,PTR-005,2023-12,165.69,662.76,straight_line_fee_recognition
REV-0000031,ORG-200011,PTR-005,2024-01,165.69,828.45,straight_line_fee_recognition
REV-0000032,ORG-200011,PTR-005,2024-02,165.69,994.14,straight_line_fee_recognition
REV-0000033,ORG-200011,PTR-005,2024-03,165.69,1159.83,straight_line_fee_recognition
REV-0000034,ORG-200012,PTR-001,2022-01,1867.14,1867.14,straight_line_fee_recognition
REV-0000035,ORG-200012,PTR-001,2022-02,1867.14,3734.28,straight_line_fee_recognition
REV-0000036,ORG-200013,PTR-006,2025-03,1643.4,1643.4,straight_line_fee_recognition
REV-0000037,ORG-200013,PTR-006,2025-04,1643.4,3286.8,straight_line_fee_recognition
REV-0000038,ORG-200013,PTR-006,2025-05,1643.4,4930.2,straight_line_fee_recognition
REV-0000039,ORG-200013,PTR-006,2025-06,1643.4,6573.6,straight_line_fee_recognition
REV-0000040,ORG-200013,PTR-006,2025-07,1643.4,8217.0,straight_line_fee_recognition
REV-0000041,ORG-200014,PTR-002,2025-02,3793.6,3793.6,straight_line_fee_recognition
REV-0000042,ORG-200014,PTR-002,2025-03,3793.6,7587.2,straight_line_fee_recognition
REV-0000043,ORG-200014,PTR-002,2025-04,3793.6,11380.8,straight_line_fee_recognition
REV-0000044,ORG-200015,PTR-002,2025-01,1785.17,1785.17,straight_line_fee_recognition
REV-0000045,ORG-200015,PTR-002,2025-02,1785.17,3570.34,straight_line_fee_recognition
REV-0000046,ORG-200015,PTR-002,2025-03,1785.17,5355.51,straight_line_fee_recognition
REV-0000047,ORG-200015,PTR-002,2025-04,1785.17,7140.68,straight_line_fee_recognition
REV-0000048,ORG-200016,PTR-003,2024-12,628.36,628.36,straight_line_fee_recognition
REV-0000049,ORG-200016,PTR-003,2025-01,628.36,1256.72,straight_line_fee_recognition
REV-0000050,ORG-200016,PTR-003,2025-02,628.36,1885.08,straight_line_fee_recognition
REV-0000051,ORG-200017,PTR-002,2022-12,4712.73,4712.73,straight_line_fee_recognition
REV-0000052,ORG-200017,PTR-002,2023-01,4712.73,9425.46,straight_line_fee_recognition
REV-0000053,ORG-200018,PTR-002,2023-11,3676.57,3676.57,straight_line_fee_recognition
REV-0000054,ORG-200018,PTR-002,2023-12,3676.57,7353.14,straight_line_fee_recognition
REV-0000055,ORG-200019,PTR-003,2023-12,1241.59,1241.59,straight_line_fee_recognition
REV-0000056,ORG-200019,PTR-003,2024-01,1241.59,2483.18,straight_line_fee_recognition
REV-0000057,ORG-200020,PTR-002,2023-07,1191.74,1191.74,straight_line_fee_recognition
REV-0000058,ORG-200020,PTR-002,2023-08,1191.74,2383.48,straight_line_fee_recognition
REV-0000059,ORG-200020,PTR-002,2023-09,1191.74,3575.22,straight_line_fee_recognition
REV-0000060,ORG-200021,PTR-001,2022-09,1648.35,1648.35,straight_line_fee_recognition
REV-0000061,ORG-200021,PTR-001,2022-10,1648.35,3296.7,straight_line_fee_recognition
REV-0000062,ORG-200022,PTR-002,2024-07,2763.74,2763.74,straight_line_fee_recognition
REV-0000063,ORG-200022,PTR-002,2024-08,2763.74,5527.48,straight_line_fee_recognition
REV-0000064,ORG-200022,PTR-002,2024-09,2763.74,8291.22,straight_line_fee_recognition
REV-0000065,ORG-200022,PTR-002,2024-10,2763.74,11054.96,straight_line_fee_recognition
REV-0000066,ORG-200023,PTR-002,2025-03,1036.2,1036.2,straight_line_fee_recognition
REV-0000067,ORG-200023,PTR-002,2025-04,1036.2,2072.4,straight_line_fee_recognition
REV-0000068,ORG-200024,PTR-001,2024-10,426.98,426.98,straight_line_fee_recognition
REV-0000069,ORG-200024,PTR-001,2024-11,426.98,853.96,straight_line_fee_recognition
REV-0000070,ORG-200024,PTR-001,2024-12,426.98,1280.94,straight_line_fee_recognition
REV-0000071,ORG-200025,PTR-005,2023-08,236.25,236.25,straight_line_fee_recognition
REV-0000072,ORG-200025,PTR-005,2023-09,236.25,472.5,straight_line_fee_recognition
REV-0000073,ORG-200025,PTR-005,2023-10,236.25,708.75,straight_line_fee_recognition
REV-0000074,ORG-200025,PTR-005,2023-11,236.25,945.0,straight_line_fee_recognition
REV-0000075,ORG-200026,PTR-004,2023-07,2272.93,2272.93,straight_line_fee_recognition
REV-0000076,ORG-200026,PTR-004,2023-08,2272.93,4545.86,straight_line_fee_recognition
REV-0000077,ORG-200026,PTR-004,2023-08,2272.93,6818.79,straight_line_fee_recognition
REV-0000078,ORG-200026,PTR-004,2023-09,2272.93,9091.72,straight_line_fee_recognition
REV-0000079,ORG-200027,PTR-001,2025-09,1039.68,1039.68,straight_line_fee_recognition
REV-0000080,ORG-200027,PTR-001,2025-10,1039.68,2079.36,straight_line_fee_recognition
REV-0000081,ORG-200027,PTR-001,2025-11,1039.68,3119.04,straight_line_fee_recognition
REV-0000082,ORG-200028,PTR-004,2022-07,272.28,272.28,straight_line_fee_recognition
REV-0000083,ORG-200028,PTR-004,2022-08,272.28,544.56,straight_line_fee_recognition
REV-0000084,ORG-200028,PTR-004,2022-09,272.28,816.84,straight_line_fee_recognition
REV-0000085,ORG-200029,PTR-003,2025-04,2690.19,2690.19,straight_line_fee_recognition
REV-0000086,ORG-200029,PTR-003,2025-05,2690.19,5380.38,straight_line_fee_recognition
REV-0000087,ORG-200029,PTR-003,2025-06,2690.19,8070.57,straight_line_fee_recognition
